[2025-03-12 00:29:50,793] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:51,155] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:51,156] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:29:51,156] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:29:52,071] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:52,083] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:29:58,131] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:58,131] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:59,350] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:59,351] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:59,680] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:59,681] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:29:59,681] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:30:00,133] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:30:00,147] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:39:45,757] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:39:45,758] INFO - Route called: POST /auth/request  200
[2025-03-12 00:39:47,455] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:39:47,455] INFO - Route called: POST /auth/request  200
[2025-03-12 00:39:47,706] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:39:47,708] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:39:47,709] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:39:48,342] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:39:48,350] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:45:26,244] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:26,245] INFO - Route called: POST /auth/request  200
[2025-03-12 00:45:27,816] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:27,826] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:45:30,190] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:30,191] INFO - Route called: POST /auth/request  200
[2025-03-12 00:45:32,986] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:32,995] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:45:36,619] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:36,620] INFO - Route called: POST /auth/request  200
[2025-03-12 00:45:37,934] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:37,946] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:45:39,816] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:39,819] INFO - Route called: POST /auth/request  200
[2025-03-12 00:45:40,875] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:40,876] INFO - Route called: POST /auth/request  200
[2025-03-12 00:45:41,417] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:41,419] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:45:41,419] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:45:42,028] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:45:42,037] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:46:15,033] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:15,034] INFO - Route called: POST /auth/request  200
[2025-03-12 00:46:17,319] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:17,328] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:46:41,532] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:41,532] INFO - Route called: POST /auth/request  200
[2025-03-12 00:46:43,045] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:43,046] INFO - Route called: POST /auth/request  200
[2025-03-12 00:46:46,162] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:46,163] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:46:46,163] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:46:46,577] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:46:46,600] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:48:34,136] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:34,138] INFO - Route called: POST /auth/request  200
[2025-03-12 00:48:37,091] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:37,107] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:48:39,660] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:39,662] INFO - Route called: POST /auth/request  200
[2025-03-12 00:48:40,811] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:40,813] INFO - Route called: POST /auth/request  200
[2025-03-12 00:48:45,520] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:45,521] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:48:45,521] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:48:48,158] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:48,167] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:48:55,316] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:55,318] INFO - Route called: POST /auth/request  200
[2025-03-12 00:48:56,472] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:56,474] INFO - Route called: POST /auth/request  200
[2025-03-12 00:48:56,659] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:56,660] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:48:56,661] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:48:57,163] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:48:57,175] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:49:26,965] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:49:26,967] INFO - Route called: POST /auth/request  200
[2025-03-12 00:49:38,960] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:49:38,972] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:50:01,353] INFO - Auth routes module initialized
[2025-03-12 00:56:09,020] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:56:09,024] INFO - Route called: POST /auth/request  200
[2025-03-12 00:56:10,687] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:56:10,724] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:56:41,096] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:56:41,096] INFO - Route called: POST /auth/request  200
[2025-03-12 00:56:42,489] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:56:42,492] INFO - Route called: POST /auth/request  200
[2025-03-12 00:57:05,530] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:57:05,531] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:57:05,531] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:57:05,880] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:57:05,892] INFO - Route called: POST /auth/verify  200
[2025-03-12 01:08:40,070] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 01:08:40,071] INFO - Route called: POST /auth/request  200
[2025-03-12 01:08:42,013] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 01:08:42,031] INFO - Route called: POST /auth/verify  200
